Jour;Visites;Visiteurs uniques;Pages vues
26/07/2014;2991;2707;7502
27/07/2014;3863;3446;9958
28/07/2014;4208;3788;12008
29/07/2014;3885;3538;10874
30/07/2014;3511;3192;8696
31/07/2014;3369;3040;8764
01/08/2014;3178;2874;7741
02/08/2014;3065;2743;7424
03/08/2014;3480;3152;8298
04/08/2014;3915;3527;9469
05/08/2014;3817;3447;9297
06/08/2014;4023;3610;10099
07/08/2014;3727;3313;8970
08/08/2014;3855;3404;9123
09/08/2014;3181;2841;7520
10/08/2014;4395;3893;9799
11/08/2014;4679;4176;10504
12/08/2014;4236;3791;9930
13/08/2014;4011;3559;9407
14/08/2014;4389;3936;10494
15/08/2014;4038;3636;9386
16/08/2014;2885;2608;6780
17/08/2014;3452;3095;8129
18/08/2014;3417;3021;8317
19/08/2014;3560;3141;8827
20/08/2014;3008;2688;7385
21/08/2014;2868;2545;6926
22/08/2014;2964;2666;7326
23/08/2014;2382;2121;5793
24/08/2014;2565;2267;6110
25/08/2014;3539;3082;9132
26/08/2014;3229;2786;8433
27/08/2014;3033;2698;7956
28/08/2014;2879;2560;7671
29/08/2014;2787;2476;6965
30/08/2014;2379;2111;5987
31/08/2014;2704;2407;6733
01/09/2014;3179;2823;8154
02/09/2014;3024;2672;8419
03/09/2014;2862;2557;7609
04/09/2014;2735;2440;6881
05/09/2014;2816;2503;6969
06/09/2014;2659;2375;6164
07/09/2014;2819;2527;6276
08/09/2014;3082;2757;7769
09/09/2014;2785;2475;7069
10/09/2014;2763;2451;7154
11/09/2014;2617;2323;6345
12/09/2014;2361;2088;5781
13/09/2014;2172;1918;5014
14/09/2014;2440;2184;5471
15/09/2014;2665;2401;6798
16/09/2014;2713;2394;7153
17/09/2014;2790;2476;6722
18/09/2014;2742;2475;6862
19/09/2014;2820;2546;6807
20/09/2014;2664;2375;6204
21/09/2014;2912;2611;6922
22/09/2014;2695;2428;7323
23/09/2014;2566;2356;6702
24/09/2014;2683;2436;6435
25/09/2014;2550;2269;6148
26/09/2014;2565;2324;5911
27/09/2014;2000;1802;4013
28/09/2014;2463;2200;5438
29/09/2014;2802;2544;6583
30/09/2014;2573;2285;5650
01/10/2014;2886;2566;7067
02/10/2014;2748;2463;6197
03/10/2014;2668;2372;5797
04/10/2014;2322;2048;4974
05/10/2014;2647;2376;5816
06/10/2014;3158;2856;7322
07/10/2014;2992;2676;6782
08/10/2014;3137;2807;7166
09/10/2014;3015;2713;6532
10/10/2014;2834;2556;6004
11/10/2014;2629;2399;5637
12/10/2014;3208;2888;6970
13/10/2014;3215;2873;7551
14/10/2014;2905;2633;6645
15/10/2014;3203;2891;7467
16/10/2014;3150;2888;7464
17/10/2014;3032;2748;7061
18/10/2014;2760;2512;5770
19/10/2014;3506;3147;7793
20/10/2014;3814;3414;8947
21/10/2014;3789;3423;8620
22/10/2014;3551;3213;8245
23/10/2014;4018;3640;9203
24/10/2014;4230;3825;9706
25/10/2014;3882;3509;8662
26/10/2014;4943;4464;10957
27/10/2014;4302;3909;9909
28/10/2014;4234;3810;9652
29/10/2014;4185;3758;9628
30/10/2014;4180;3789;9489
31/10/2014;4193;3829;9221
01/11/2014;4883;4429;9582
02/11/2014;6006;5518;11245
03/11/2014;3866;3533;8285
04/11/2014;3036;2742;7229
05/11/2014;2779;2488;6438
06/11/2014;2653;2391;6153
07/11/2014;2594;2348;5879
08/11/2014;2429;2188;5247
09/11/2014;2847;2606;6608
10/11/2014;3012;2702;6759
11/11/2014;2510;2251;5877
12/11/2014;2292;1999;5489
13/11/2014;2210;1984;5693
14/11/2014;2127;1907;5081
15/11/2014;1783;1612;3960
16/11/2014;2016;1820;4610
17/11/2014;2313;2095;5595
18/11/2014;2174;1959;5482
19/11/2014;2137;1924;5273
20/11/2014;2006;1822;5262
21/11/2014;1900;1744;4262
22/11/2014;1684;1526;3691
23/11/2014;2036;1860;4441
24/11/2014;2229;2028;5267
25/11/2014;2152;1958;5207
26/11/2014;2118;1903;4989
27/11/2014;2002;1798;4610
28/11/2014;1887;1725;4662
29/11/2014;1665;1507;4078
30/11/2014;2066;1891;4743
01/12/2014;2081;1879;4865
02/12/2014;1952;1779;4798
03/12/2014;1960;1761;4541
04/12/2014;1910;1713;4568
05/12/2014;1970;1771;4411
06/12/2014;1703;1562;3734
07/12/2014;2074;1884;4503
08/12/2014;2179;1957;5263
09/12/2014;1941;1780;4688
10/12/2014;1931;1702;4775
11/12/2014;1951;1737;5081
12/12/2014;2250;2016;5320
13/12/2014;1918;1713;4593
14/12/2014;2061;1853;4964
15/12/2014;2161;1959;5588
16/12/2014;2055;1860;5170
17/12/2014;2073;1863;5218
18/12/2014;1873;1685;4578
19/12/2014;1976;1790;4663
20/12/2014;1915;1722;4488
21/12/2014;2358;2091;5592
22/12/2014;2576;2307;6421
23/12/2014;2223;1972;5370
24/12/2014;1478;1330;3237
25/12/2014;1578;1434;3783
26/12/2014;2656;2379;6357
27/12/2014;2797;2539;6159
28/12/2014;2939;2663;7186
29/12/2014;2658;2380;6518
30/12/2014;2529;2297;6051
31/12/2014;1874;1713;4147
